Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -167425.69   -168080.75       655.06   577.9
0.002       -167425.62   -168052.62       627.01   553.1
0.003       -167425.40   -168009.78       584.38   515.5
0.004       -167424.97   -167957.67       532.70   469.9
0.005       -167424.56   -167902.75       478.20   421.8
0.006       -167424.35   -167851.48       427.13   376.8
0.007       -167424.14   -167809.17       385.03   339.7
0.008       -167424.03   -167779.24       355.22   313.3
0.009       -167424.18   -167762.63       338.45   298.6
0.010       -167424.48   -167757.89       333.41   294.1
0.011       -167424.77   -167761.70       336.92   297.2
0.012       -167425.02   -167769.74       344.72   304.1
0.013       -167732.20   -167776.75        44.55    39.3
0.014       -167732.30   -167790.78        58.48    51.6
0.015       -167732.38   -167809.53        77.15    68.1
0.016       -167732.47   -167830.56        98.09    86.5
0.017       -167732.54   -167851.58       119.05   105.0
0.018       -167732.55   -167870.75       138.20   121.9
0.019       -167732.58   -167886.80       154.22   136.0
0.020       -167732.53   -167899.12       166.59   147.0
0.021       -167732.45   -167907.70       175.25   154.6
0.022       -167732.39   -167913.04       180.65   159.4
0.023       -167732.35   -167915.98       183.63   162.0
0.024       -167732.31   -167917.54       185.23   163.4
0.025       -167846.97   -167919.97        73.01    64.4
0.026       -167846.95   -167925.89        78.94    69.6
0.027       -167846.97   -167934.95        87.98    77.6
0.028       -167846.99   -167946.26        99.27    87.6
0.029       -167847.04   -167958.55       111.51    98.4
0.030       -167847.10   -167970.36       123.26   108.7
0.031       -167847.08   -167980.33       133.26   117.5
0.032       -167847.05   -167987.42       140.37   123.8
0.033       -167847.01   -167991.09       144.08   127.1
0.034       -167846.93   -167991.37       144.44   127.4
0.035       -167846.84   -167988.88       142.03   125.3
0.036       -167846.72   -167984.65       137.93   121.7
0.037       -167889.21   -167981.37        92.17    81.3
0.038       -167889.12   -167979.93        90.81    80.1
0.039       -167889.04   -167980.97        91.93    81.1
0.040       -167889.01   -167984.70        95.69    84.4
