Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -150757.87   -151057.06       299.18   292.7
0.002       -150757.89   -151056.87       298.98   292.5
0.003       -150757.88   -151056.73       298.85   292.4
0.004       -150757.83   -151056.66       298.83   292.4
0.005       -150757.77   -151056.67       298.90   292.4
0.006       -150757.74   -151056.76       299.02   292.6
0.007       -150757.75   -151056.94       299.19   292.7
0.008       -150757.71   -151057.17       299.46   293.0
0.009       -150757.74   -151057.42       299.68   293.2
0.010       -150757.70   -151057.66       299.96   293.5
0.011       -150757.72   -151057.88       300.16   293.7
0.012       -150757.68   -151058.08       300.40   293.9
0.013       -150757.65   -151058.28       300.63   294.1
0.014       -150757.63   -151058.50       300.87   294.4
0.015       -150757.60   -151058.78       301.17   294.7
0.016       -150757.58   -151059.14       301.56   295.1
0.017       -150757.50   -151059.59       302.08   295.6
0.018       -150757.44   -151060.11       302.67   296.1
0.019       -150757.53   -151060.69       303.15   296.6
0.020       -150757.49   -151061.29       303.80   297.2
0.021       -150757.47   -151061.90       304.42   297.9
0.022       -150757.49   -151062.50       305.02   298.4
0.023       -150757.51   -151063.06       305.56   299.0
0.024       -150757.56   -151063.56       306.00   299.4
0.025       -150757.57   -151063.95       306.38   299.8
0.026       -150757.60   -151064.21       306.61   300.0
0.027       -150757.63   -151064.31       306.68   300.1
0.028       -150757.60   -151064.25       306.65   300.0
0.029       -150757.69   -151064.05       306.35   299.7
0.030       -150757.69   -151063.73       306.03   299.4
0.031       -150757.67   -151063.32       305.65   299.1
0.032       -150757.70   -151062.87       305.16   298.6
0.033       -150757.78   -151062.39       304.61   298.0
0.034       -150757.76   -151061.93       304.17   297.6
0.035       -150757.83   -151061.49       303.67   297.1
0.036       -150757.85   -151061.13       303.28   296.7
0.037       -150757.83   -151060.84       303.01   296.5
0.038       -150757.90   -151060.66       302.76   296.2
0.039       -150757.85   -151060.61       302.76   296.2
0.040       -150757.88   -151060.68       302.80   296.3
0.041       -150757.92   -151060.85       302.93   296.4
0.042       -150757.92   -151061.09       303.17   296.6
0.043       -150757.92   -151061.36       303.44   296.9
0.044       -150757.83   -151061.59       303.76   297.2
0.045       -150757.85   -151061.75       303.89   297.3
0.046       -150757.79   -151061.82       304.03   297.5
0.047       -150757.82   -151061.80       303.98   297.4
0.048       -150757.79   -151061.73       303.94   297.4
0.049       -150757.76   -151061.66       303.90   297.3
0.050       -150757.83   -151061.65       303.82   297.3
0.051       -150757.91   -151061.77       303.86   297.3
0.052       -150757.91   -151062.02       304.11   297.5
0.053       -150757.83   -151062.41       304.57   298.0
0.054       -150757.80   -151062.87       305.07   298.5
0.055       -150757.85   -151063.34       305.49   298.9
0.056       -150757.83   -151063.73       305.90   299.3
0.057       -150757.82   -151063.99       306.17   299.6
0.058       -150757.80   -151064.06       306.26   299.6
0.059       -150757.81   -151063.93       306.12   299.5
0.060       -150757.88   -151063.66       305.77   299.2
0.061       -150757.95   -151063.31       305.37   298.8
0.062       -150758.03   -151062.99       304.95   298.4
0.063       -150758.11   -151062.78       304.67   298.1
0.064       -150758.00   -151062.75       304.75   298.2
0.065       -150757.93   -151062.93       305.00   298.4
0.066       -150757.92   -151063.30       305.38   298.8
0.067       -150757.88   -151063.78       305.89   299.3
0.068       -150757.98   -151064.26       306.28   299.7
0.069       -150758.00   -151064.64       306.63   300.0
0.070       -150757.94   -151064.79       306.85   300.2
0.071       -150758.00   -151064.65       306.65   300.0
0.072       -150757.96   -151064.19       306.23   299.6
0.073       -150757.99   -151063.45       305.46   298.9
0.074       -150757.95   -151062.50       304.55   298.0
0.075       -150757.96   -151061.44       303.48   296.9
0.076       -150758.01   -151060.34       302.32   295.8
0.077       -150758.04   -151059.29       301.25   294.7
0.078       -150758.00   -151058.36       300.36   293.9
0.079       -150758.02   -151057.60       299.58   293.1
0.080       -150758.04   -151057.03       298.99   292.5
0.081       -150757.98   -151056.65       298.67   292.2
0.082       -150758.02   -151056.44       298.42   292.0
0.083       -150758.02   -151056.39       298.36   291.9
0.084       -150758.05   -151056.43       298.37   291.9
0.085       -150758.05   -151056.51       298.46   292.0
0.086       -150758.01   -151056.62       298.61   292.2
0.087       -150757.98   -151056.74       298.76   292.3
0.088       -150757.91   -151056.88       298.98   292.5
0.089       -150757.85   -151057.09       299.25   292.8
0.090       -150757.89   -151057.41       299.53   293.1
0.091       -150757.89   -151057.88       300.00   293.5
0.092       -150757.76   -151058.53       300.77   294.3
0.093       -150757.74   -151059.32       301.59   295.1
0.094       -150757.65   -151060.25       302.60   296.1
0.095       -150757.72   -151061.22       303.50   296.9
0.096       -150757.72   -151062.17       304.45   297.9
0.097       -150757.71   -151063.01       305.31   298.7
0.098       -150757.68   -151063.68       305.99   299.4
0.099       -150757.71   -151064.12       306.41   299.8
0.100       -150757.67   -151064.32       306.65   300.0
0.101       -150757.72   -151064.32       306.60   300.0
0.102       -150757.67   -151064.17       306.49   299.9
0.103       -150757.67   -151063.93       306.26   299.7
0.104       -150757.64   -151063.73       306.09   299.5
0.105       -150757.58   -151063.62       306.05   299.4
0.106       -150757.44   -151063.67       306.24   299.6
0.107       -150757.38   -151063.90       306.53   299.9
0.108       -150757.43   -151064.29       306.87   300.2
0.109       -150757.38   -151064.80       307.42   300.8
0.110       -150757.39   -151065.34       307.95   301.3
0.111       -150757.33   -151065.84       308.51   301.9
0.112       -150757.39   -151066.21       308.82   302.2
0.113       -150757.33   -151066.37       309.04   302.4
0.114       -150757.29   -151066.29       309.00   302.3
0.115       -150757.15   -151065.92       308.77   302.1
0.116       -150757.06   -151065.28       308.21   301.6
0.117       -150757.02   -151064.38       307.36   300.7
0.118       -150757.01   -151063.31       306.30   299.7
0.119       -150757.01   -151062.16       305.15   298.6
0.120       -150756.97   -151061.04       304.07   297.5
0.121       -150756.95   -151060.05       303.11   296.6
0.122       -150756.89   -151059.26       302.36   295.8
0.123       -150757.03   -151058.69       301.66   295.1
