Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -150757.80   -151057.07       299.27   292.8
0.002       -150757.75   -151056.88       299.13   292.7
0.003       -150757.82   -151056.73       298.91   292.5
0.004       -150757.81   -151056.65       298.84   292.4
0.005       -150757.70   -151056.66       298.95   292.5
0.006       -150757.66   -151056.76       299.10   292.6
0.007       -150757.66   -151056.95       299.28   292.8
0.008       -150757.65   -151057.19       299.53   293.1
0.009       -150757.66   -151057.45       299.79   293.3
0.010       -150757.67   -151057.70       300.03   293.6
0.011       -150757.83   -151057.93       300.11   293.6
0.012       -150757.96   -151058.15       300.20   293.7
0.013       -150744.96   -151058.20       313.24   306.5
0.014       -150744.96   -151057.92       312.96   306.2
0.015       -150744.94   -151057.43       312.48   305.7
0.016       -150744.92   -151056.83       311.91   305.2
0.017       -150744.93   -151056.24       311.31   304.6
0.018       -150745.02   -151055.78       310.76   304.1
0.019       -150745.09   -151055.50       310.41   303.7
0.020       -150745.10   -151055.47       310.36   303.7
0.021       -150745.14   -151055.69       310.56   303.9
0.022       -150745.08   -151056.14       311.06   304.3
0.023       -150745.14   -151056.75       311.62   304.9
0.024       -150745.20   -151057.43       312.22   305.5
0.025       -150756.24   -151058.21       301.97   295.5
0.026       -150756.20   -151059.13       302.94   296.4
0.027       -150756.27   -151060.06       303.79   297.2
0.028       -150756.32   -151060.84       304.52   297.9
0.029       -150756.33   -151061.38       305.05   298.5
0.030       -150756.33   -151061.61       305.28   298.7
0.031       -150756.25   -151061.54       305.29   298.7
0.032       -150756.19   -151061.18       304.99   298.4
0.033       -150756.22   -151060.61       304.39   297.8
0.034       -150756.20   -151059.95       303.75   297.2
0.035       -150756.19   -151059.30       303.11   296.6
0.036       -150756.28   -151058.78       302.49   296.0
0.037       -150747.92   -151058.34       310.42   303.7
0.038       -150747.90   -151057.94       310.04   303.4
0.039       -150747.89   -151057.64       309.75   303.1
0.040       -150747.99   -151057.44       309.45   302.8
0.041       -150748.02   -151057.35       309.33   302.7
0.042       -150748.13   -151057.35       309.22   302.5
0.043       -150748.09   -151057.40       309.32   302.6
0.044       -150748.09   -151057.45       309.36   302.7
0.045       -150748.06   -151057.43       309.37   302.7
0.046       -150748.03   -151057.34       309.31   302.6
0.047       -150748.03   -151057.15       309.12   302.5
0.048       -150748.03   -151056.92       308.90   302.2
0.049       -150752.56   -151056.78       304.22   297.7
0.050       -150752.57   -151056.85       304.28   297.7
0.051       -150752.59   -151057.19       304.60   298.0
0.052       -150752.60   -151057.78       305.19   298.6
0.053       -150752.58   -151058.60       306.02   299.4
0.054       -150752.57   -151059.54       306.97   300.3
0.055       -150752.56   -151060.47       307.91   301.3
0.056       -150752.63   -151061.26       308.63   302.0
0.057       -150752.61   -151061.83       309.22   302.5
0.058       -150752.53   -151062.08       309.56   302.9
0.059       -150752.53   -151062.01       309.48   302.8
0.060       -150752.63   -151061.66       309.03   302.4
0.061       -150757.45   -151061.18       303.73   297.2
0.062       -150757.42   -151060.75       303.33   296.8
0.063       -150757.29   -151060.47       303.18   296.6
0.064       -150757.28   -151060.42       303.13   296.6
0.065       -150757.23   -151060.61       303.37   296.8
0.066       -150757.26   -151061.02       303.76   297.2
0.067       -150757.28   -151061.56       304.28   297.7
0.068       -150757.30   -151062.15       304.85   298.3
0.069       -150757.25   -151062.64       305.38   298.8
0.070       -150757.29   -151062.92       305.63   299.0
0.071       -150757.38   -151062.91       305.53   298.9
0.072       -150757.44   -151062.61       305.17   298.6
0.073       -150754.47   -151062.01       307.53   300.9
0.074       -150754.45   -151061.14       306.69   300.1
0.075       -150754.46   -151060.12       305.65   299.1
0.076       -150754.45   -151059.08       304.63   298.1
0.077       -150754.44   -151058.14       303.70   297.1
0.078       -150754.50   -151057.35       302.85   296.3
0.079       -150754.54   -151056.75       302.21   295.7
0.080       -150754.55   -151056.36       301.80   295.3
0.081       -150754.64   -151056.14       301.51   295.0
0.082       -150754.60   -151056.06       301.46   295.0
0.083       -150754.60   -151056.05       301.45   294.9
0.084       -150754.60   -151056.04       301.44   294.9
0.085       -150744.15   -151055.83       311.68   305.0
0.086       -150744.16   -151055.25       311.09   304.4
0.087       -150744.15   -151054.38       310.22   303.5
0.088       -150744.14   -151053.34       309.20   302.5
0.089       -150744.13   -151052.33       308.20   301.5
0.090       -150744.22   -151051.54       307.32   300.7
0.091       -150744.21   -151051.13       306.92   300.3
0.092       -150744.08   -151051.18       307.10   300.5
0.093       -150744.04   -151051.70       307.65   301.0
0.094       -150744.10   -151052.62       308.52   301.9
0.095       -150744.06   -151053.81       309.76   303.1
0.096       -150744.03   -151055.09       311.06   304.3
0.097       -150752.78   -151056.39       303.61   297.1
0.098       -150752.76   -151057.69       304.93   298.4
0.099       -150752.74   -151058.86       306.12   299.5
0.100       -150752.73   -151059.75       307.02   300.4
0.101       -150752.79   -151060.32       307.53   300.9
0.102       -150752.79   -151060.55       307.76   301.1
0.103       -150752.76   -151060.51       307.75   301.1
0.104       -150752.71   -151060.31       307.60   301.0
0.105       -150752.68   -151060.09       307.41   300.8
0.106       -150752.64   -151059.97       307.34   300.7
0.107       -150752.64   -151060.04       307.41   300.8
0.108       -150752.71   -151060.35       307.64   301.0
0.109       -150754.65   -151060.92       306.28   299.7
0.110       -150754.67   -151061.74       307.07   300.4
