Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -150757.19   -151059.05       301.86   295.3
0.002       -150757.23   -151059.42       302.19   295.7
0.003       -150757.19   -151060.02       302.83   296.3
0.004       -150757.15   -151060.76       303.61   297.1
0.005       -150757.20   -151061.51       304.31   297.7
0.006       -150757.16   -151062.14       304.98   298.4
0.007       -150757.24   -151062.55       305.31   298.7
0.008       -150757.25   -151062.67       305.42   298.8
0.009       -150757.22   -151062.47       305.25   298.7
0.010       -150757.18   -151061.98       304.80   298.2
0.011       -150757.19   -151061.30       304.11   297.5
0.012       -150757.11   -151060.52       303.41   296.9
0.013       -150750.68   -151059.69       309.01   302.3
0.014       -150750.77   -151058.85       308.08   301.4
0.015       -150750.74   -151058.12       307.38   300.7
0.016       -150750.74   -151057.56       306.82   300.2
0.017       -150750.70   -151057.23       306.53   299.9
0.018       -150750.69   -151057.09       306.40   299.8
0.019       -150750.68   -151057.09       306.41   299.8
0.020       -150750.61   -151057.17       306.56   299.9
0.021       -150750.58   -151057.25       306.67   300.0
0.022       -150750.51   -151057.31       306.80   300.2
0.023       -150750.52   -151057.31       306.80   300.2
0.024       -150750.50   -151057.30       306.80   300.2
0.025       -150750.86   -151057.31       306.45   299.8
0.026       -150750.91   -151057.40       306.49   299.9
0.027       -150750.86   -151057.62       306.76   300.1
0.028       -150750.88   -151057.98       307.10   300.5
0.029       -150750.90   -151058.46       307.56   300.9
0.030       -150750.83   -151059.00       308.17   301.5
0.031       -150750.81   -151059.48       308.67   302.0
0.032       -150750.82   -151059.82       309.00   302.3
0.033       -150750.78   -151059.94       309.15   302.5
0.034       -150750.72   -151059.79       309.07   302.4
0.035       -150750.75   -151059.40       308.65   302.0
0.036       -150750.74   -151058.83       308.10   301.4
0.037       -150753.79   -151058.25       304.46   297.9
0.038       -150753.85   -151057.80       303.95   297.4
0.039       -150753.88   -151057.60       303.72   297.2
0.040       -150753.87   -151057.67       303.81   297.3
0.041       -150753.88   -151058.04       304.17   297.6
0.042       -150753.95   -151058.63       304.67   298.1
0.043       -150753.97   -151059.31       305.35   298.8
0.044       -150753.99   -151059.97       305.98   299.4
0.045       -150754.03   -151060.46       306.44   299.8
0.046       -150754.09   -151060.67       306.58   300.0
0.047       -150754.01   -151060.54       306.53   299.9
0.048       -150753.96   -151060.06       306.09   299.5
