Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -145488.21   -145784.15       295.94   300.0
0.002       -145488.19   -145783.66       295.47   299.5
0.003       -145488.22   -145783.26       295.04   299.1
0.004       -145488.27   -145783.03       294.76   298.8
0.005       -145488.33   -145782.98       294.65   298.7
0.006       -145488.40   -145783.12       294.73   298.8
0.007       -145488.35   -145783.42       295.07   299.1
0.008       -145488.31   -145783.79       295.49   299.6
0.009       -145488.28   -145784.16       295.88   300.0
0.010       -145488.27   -145784.40       296.14   300.2
0.011       -145488.17   -145784.45       296.28   300.4
0.012       -145488.19   -145784.27       296.08   300.2
0.013       -145488.22   -145783.87       295.66   299.7
0.014       -145488.20   -145783.32       295.12   299.2
0.015       -145488.18   -145782.72       294.53   298.6
0.016       -145488.20   -145782.18       293.97   298.0
0.017       -145488.16   -145781.80       293.64   297.7
0.018       -145488.19   -145781.67       293.49   297.5
0.019       -145488.19   -145781.83       293.65   297.7
0.020       -145488.15   -145782.29       294.14   298.2
0.021       -145488.06   -145782.99       294.93   299.0
0.022       -145488.03   -145783.87       295.84   299.9
0.023       -145488.05   -145784.82       296.77   300.9
0.024       -145488.04   -145785.75       297.71   301.8
0.025       -145487.97   -145786.55       298.58   302.7
0.026       -145488.06   -145787.14       299.08   303.2
0.027       -145488.02   -145787.50       299.47   303.6
0.028       -145488.02   -145787.62       299.60   303.7
0.029       -145488.03   -145787.55       299.52   303.7
0.030       -145488.03   -145787.39       299.36   303.5
0.031       -145487.97   -145787.19       299.22   303.3
0.032       -145487.96   -145787.05       299.09   303.2
0.033       -145488.06   -145787.05       298.99   303.1
0.034       -145488.05   -145787.26       299.21   303.3
0.035       -145488.06   -145787.67       299.62   303.8
0.036       -145488.04   -145788.26       300.22   304.4
0.037       -145488.03   -145788.92       300.89   305.0
0.038       -145488.04   -145789.53       301.49   305.7
0.039       -145487.98   -145789.98       302.00   306.2
0.040       -145488.05   -145790.15       302.10   306.3
0.041       -145488.08   -145789.98       301.91   306.1
0.042       -145488.08   -145789.46       301.38   305.5
0.043       -145488.02   -145788.65       300.63   304.8
0.044       -145487.99   -145787.67       299.68   303.8
0.045       -145488.00   -145786.65       298.65   302.8
0.046       -145488.02   -145785.70       297.68   301.8
0.047       -145488.03   -145784.92       296.89   301.0
0.048       -145488.11   -145784.38       296.27   300.4
0.049       -145488.10   -145784.08       295.97   300.1
0.050       -145488.11   -145784.00       295.88   300.0
0.051       -145488.15   -145784.11       295.97   300.1
0.052       -145488.20   -145784.40       296.20   300.3
0.053       -145488.23   -145784.85       296.63   300.7
0.054       -145488.26   -145785.44       297.18   301.3
0.055       -145488.29   -145786.11       297.82   301.9
0.056       -145488.27   -145786.80       298.53   302.7
0.057       -145488.20   -145787.41       299.21   303.3
0.058       -145488.18   -145787.82       299.64   303.8
0.059       -145488.22   -145787.92       299.70   303.8
0.060       -145488.23   -145787.66       299.43   303.6
0.061       -145488.17   -145787.04       298.87   303.0
0.062       -145488.19   -145786.14       297.95   302.1
0.063       -145488.25   -145785.08       296.82   300.9
0.064       -145488.19   -145784.02       295.83   299.9
0.065       -145488.16   -145783.13       294.97   299.0
0.066       -145488.16   -145782.56       294.39   298.5
0.067       -145488.12   -145782.36       294.24   298.3
0.068       -145488.15   -145782.54       294.39   298.5
0.069       -145488.12   -145783.04       294.92   299.0
0.070       -145488.18   -145783.74       295.56   299.6
