3.00570,-1.64240,-1.56403,-1.54897,-1.60591,-1.76946,-2.11046,-2.75477,-3.91472,-5.94004,-9.39830,-15.20122,-24.80139,-40.49760,-65.90651,-106.68969,-171.67070,-2.48783
3.01074,-0.68257,-0.64053,-0.70004,-0.89721,-1.30984,-2.07796,-3.43774,-5.77616,-9.71716,-16.25596,-26.96724,-44.32602,-72.20044,-116.60599,-186.85659,-297.31728,-2.50343
3.01575,-1.59796,-1.47808,-1.39918,-1.35313,-1.34476,-1.39585,-1.55309,-1.90233,-2.59239,-3.87349,-6.15861,-10.12034,-16.84270,-28.05798,-46.51478,-76.54781,-1.81153
3.02076,-2.77886,-2.58391,-2.37053,-2.08684,-1.66597,-1.01309,0.01303,1.62736,4.15961,8.11677,14.27843,23.84264,38.64896,61.51944,96.77966,151.05477,-1.38707
3.02576,-2.57903,-2.39783,-2.21852,-2.00615,-1.72192,-1.31871,-0.73569,0.10759,1.31807,3.03634,5.44353,8.76561,13.27133,19.25604,26.99799,36.66373,-1.67748
3.03077,-2.40443,-2.22602,-2.05713,-1.86827,-1.62884,-1.30420,-0.85249,-0.22139,0.65527,1.86062,3.49722,5.68777,8.57232,12.29877,17.00158,22.76010,-1.74017
3.03577,-2.64280,-2.46285,-2.29698,-2.12320,-1.92720,-1.70678,-1.48182,-1.31389,-1.34226,-1.84773,-3.36270,-6.85847,-14.05965,-27.96703,-53.71984,-100.00839,-2.21741
3.04077,-3.47991,-3.24918,-2.98378,-2.62183,-2.08075,-1.24215,0.07027,2.12325,5.32285,10.28825,17.96358,29.78758,47.95127,75.78917,118.37351,183.41682,-1.68638
3.04579,-3.21139,-3.00355,-2.78596,-2.51788,-2.15417,-1.64167,-0.91641,0.09733,1.48394,3.32565,5.67708,8.51352,11.63285,14.47765,15.82239,13.23488,-1.90210
3.05079,-2.88473,-2.67723,-2.45273,-2.16089,-1.73564,-1.08336,-0.06493,1.53106,4.02914,7.92931,14.00303,23.44090,38.08040,60.75688,95.84462,150.09089,-1.45846
3.05590,-1.94795,-1.79283,-1.66271,-1.53724,-1.40075,-1.24236,-1.05735,-0.85088,-0.64538,-0.49351,-0.50011,-0.85792,-1.90482,-4.21429,-8.73678,-17.01844,-1.63089
3.06117,-1.35010,-1.22460,-1.14132,-1.08905,-1.06703,-1.08634,-1.17327,-1.37562,-1.77253,-2.48919,-3.71757,-5.74485,-8.99078,-14.05436,-21.76788,-33.25143,-1.52490
