Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -145495.78   -145789.79       294.01   298.1
0.002       -145495.83   -145789.60       293.76   297.8
0.003       -145495.75   -145789.42       293.67   297.7
0.004       -145495.73   -145789.26       293.54   297.6
0.005       -145495.80   -145789.14       293.33   297.4
0.006       -145495.85   -145789.03       293.19   297.2
0.007       -145495.79   -145788.94       293.15   297.2
0.008       -145495.81   -145788.82       293.01   297.1
0.009       -145495.82   -145788.66       292.85   296.9
0.010       -145495.89   -145788.42       292.53   296.6
0.011       -145495.87   -145788.07       292.21   296.2
0.012       -145495.92   -145787.61       291.69   295.7
0.013       -145487.39   -145786.89       299.49   303.6
0.014       -145487.33   -145785.84       298.51   302.6
0.015       -145487.32   -145784.54       297.22   301.3
0.016       -145487.27   -145783.15       295.88   300.0
0.017       -145487.29   -145781.80       294.51   298.6
0.018       -145487.25   -145780.64       293.38   297.4
0.019       -145487.19   -145779.80       292.61   296.6
0.020       -145487.31   -145779.34       292.02   296.1
0.021       -145487.29   -145779.29       292.01   296.0
0.022       -145487.31   -145779.61       292.30   296.3
0.023       -145487.33   -145780.19       292.87   296.9
0.024       -145487.37   -145780.94       293.57   297.6
0.025       -145482.74   -145781.66       298.92   303.0
0.026       -145482.74   -145782.17       299.43   303.6
0.027       -145482.76   -145782.38       299.62   303.8
0.028       -145482.67   -145782.25       299.58   303.7
0.029       -145482.68   -145781.82       299.13   303.3
0.030       -145482.66   -145781.13       298.47   302.6
0.031       -145482.73   -145780.30       297.57   301.7
0.032       -145482.68   -145779.44       296.76   300.9
0.033       -145482.77   -145778.66       295.89   300.0
0.034       -145482.75   -145778.06       295.31   299.4
0.035       -145482.78   -145777.72       294.94   299.0
0.036       -145482.76   -145777.65       294.89   299.0
0.037       -145480.66   -145777.81       297.15   301.3
0.038       -145480.70   -145778.14       297.44   301.5
0.039       -145480.82   -145778.60       297.77   301.9
0.040       -145480.79   -145779.12       298.33   302.4
0.041       -145480.82   -145779.65       298.83   303.0
0.042       -145480.82   -145780.16       299.33   303.5
0.043       -145480.89   -145780.59       299.70   303.8
0.044       -145480.89   -145780.90       300.01   304.2
0.045       -145480.81   -145781.07       300.26   304.4
0.046       -145480.81   -145781.07       300.26   304.4
0.047       -145480.83   -145780.92       300.09   304.2
0.048       -145480.85   -145780.62       299.77   303.9
0.049       -145488.47   -145780.36       291.88   295.9
0.050       -145488.41   -145780.27       291.86   295.9
0.051       -145488.50   -145780.38       291.87   295.9
0.052       -145488.55   -145780.67       292.13   296.2
0.053       -145488.51   -145781.13       292.62   296.7
0.054       -145488.47   -145781.71       293.24   297.3
0.055       -145488.45   -145782.33       293.88   297.9
0.056       -145488.49   -145782.91       294.41   298.5
0.057       -145488.50   -145783.40       294.90   299.0
0.058       -145488.49   -145783.75       295.26   299.3
0.059       -145488.50   -145783.94       295.44   299.5
0.060       -145488.48   -145783.98       295.51   299.6
0.061       -145487.68   -145783.91       296.23   300.3
0.062       -145487.60   -145783.76       296.17   300.3
0.063       -145487.56   -145783.62       296.06   300.1
0.064       -145487.53   -145783.55       296.02   300.1
0.065       -145487.63   -145783.59       295.95   300.0
0.066       -145487.66   -145783.73       296.07   300.2
0.067       -145487.66   -145783.96       296.30   300.4
0.068       -145487.70   -145784.25       296.55   300.6
0.069       -145487.69   -145784.52       296.82   300.9
