Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -145495.75   -145789.79       294.04   298.1
0.001       -145495.75   -145789.78       294.04   298.1
0.001       -145495.82   -145789.78       293.96   298.0
0.002       -145495.79   -145789.59       293.80   297.9
0.002       -145495.75   -145789.59       293.83   297.9
0.002       -145495.85   -145789.58       293.73   297.8
0.003       -145495.77   -145789.41       293.64   297.7
0.003       -145495.70   -145789.40       293.70   297.8
0.003       -145495.84   -145789.40       293.56   297.6
0.004       -145495.73   -145789.25       293.53   297.6
0.004       -145495.66   -145789.25       293.59   297.6
0.004       -145495.85   -145789.27       293.42   297.5
0.005       -145495.76   -145789.13       293.37   297.4
0.005       -145495.75   -145789.14       293.39   297.4
0.005       -145495.88   -145789.17       293.29   297.3
0.006       -145495.78   -145789.04       293.26   297.3
0.006       -145495.71   -145789.05       293.34   297.4
0.006       -145495.81   -145789.09       293.28   297.3
0.007       -145495.73   -145788.96       293.23   297.3
0.007       -145495.83   -145788.95       293.12   297.2
0.007       -145495.82   -145789.01       293.19   297.2
0.008       -145495.66   -145788.84       293.18   297.2
0.008       -145495.78   -145788.85       293.07   297.1
0.008       -145495.86   -145788.90       293.04   297.1
0.009       -145495.72   -145788.67       292.95   297.0
0.009       -145495.84   -145788.70       292.86   296.9
0.009       -145495.90   -145788.74       292.84   296.9
0.010       -145495.68   -145788.43       292.75   296.8
0.010       -145495.83   -145788.49       292.66   296.7
0.010       -145495.98   -145788.50       292.52   296.6
0.011       -145495.71   -145788.07       292.36   296.4
0.011       -145495.92   -145788.18       292.26   296.3
0.011       -145495.96   -145788.15       292.20   296.2
0.012       -145495.92   -145787.76       291.84   295.9
0.012       -145495.68   -145787.60       291.92   295.9
0.012       -145495.97   -145787.69       291.72   295.7
0.013       -145495.67   -145787.00       291.33   295.3
0.013       -145495.95   -145787.21       291.26   295.3
0.013       -145495.95   -145787.09       291.14   295.2
0.014       -145495.99   -145786.57       290.58   294.6
0.014       -145495.65   -145786.28       290.63   294.6
0.014       -145496.00   -145786.41       290.41   294.4
0.015       -145495.62   -145785.50       289.89   293.9
0.015       -145495.93   -145785.86       289.94   293.9
0.015       -145495.94   -145785.69       289.75   293.8
0.016       -145495.96   -145785.16       289.20   293.2
0.016       -145495.63   -145784.74       289.11   293.1
0.016       -145495.94   -145784.97       289.04   293.0
0.017       -145495.97   -145784.54       288.57   292.6
0.017       -145495.65   -145784.08       288.43   292.4
0.017       -145495.96   -145784.34       288.38   292.4
0.018       -145495.93   -145784.07       288.13   292.1
0.018       -145495.64   -145783.60       287.96   291.9
0.018       -145496.08   -145783.87       287.79   291.8
0.019       -145495.97   -145783.80       287.83   291.8
0.019       -145495.60   -145783.34       287.74   291.7
0.019       -145496.07   -145783.61       287.54   291.5
0.020       -145495.95   -145783.77       287.81   291.8
0.020       -145495.51   -145783.34       287.83   291.8
0.020       -145496.11   -145783.59       287.48   291.5
0.021       -145495.45   -145783.57       288.12   292.1
0.021       -145495.97   -145783.97       287.99   292.0
0.021       -145496.04   -145783.81       287.77   291.7
0.022       -145495.36   -145784.02       288.65   292.6
0.022       -145495.98   -145784.23       288.25   292.2
0.022       -145495.94   -145784.37       288.43   292.4
0.023       -145495.37   -145784.59       289.22   293.2
0.023       -145495.93   -145784.80       288.87   292.9
0.023       -145495.89   -145784.93       289.05   293.0
0.024       -145495.33   -145785.21       289.87   293.9
0.024       -145495.98   -145785.45       289.47   293.5
0.024       -145495.81   -145785.57       289.76   293.8
0.025       -145495.30   -145785.81       290.52   294.5
0.025       -145496.00   -145786.12       290.12   294.1
0.025       -145495.78   -145786.21       290.43   294.4
0.026       -145495.35   -145786.34       290.99   295.0
0.026       -145496.00   -145786.72       290.72   294.7
0.026       -145495.76   -145786.78       291.02   295.0
0.027       -145495.35   -145786.74       291.39   295.4
0.027       -145495.99   -145787.21       291.22   295.2
0.027       -145495.75   -145787.20       291.45   295.5
0.028       -145495.40   -145786.96       291.56   295.6
0.028       -145495.92   -145787.52       291.60   295.6
0.028       -145495.89   -145787.45       291.56   295.6
0.029       -145495.44   -145787.00       291.57   295.6
0.029       -145495.97   -145787.62       291.65   295.7
0.029       -145495.88   -145787.48       291.60   295.6
0.030       -145495.38   -145786.86       291.49   295.5
0.030       -145495.96   -145787.52       291.56   295.6
0.030       -145495.88   -145787.31       291.43   295.5
0.031       -145495.34   -145786.59       291.24   295.3
0.031       -145496.02   -145787.24       291.22   295.2
0.031       -145495.83   -145786.98       291.15   295.2
0.032       -145495.39   -145786.22       290.83   294.8
0.032       -145496.00   -145786.83       290.83   294.8
0.032       -145495.86   -145786.54       290.68   294.7
0.033       -145495.47   -145785.82       290.35   294.4
0.033       -145496.07   -145786.36       290.29   294.3
0.033       -145495.82   -145786.07       290.25   294.3
0.034       -145495.50   -145785.46       289.97   294.0
0.034       -145496.01   -145785.92       289.91   293.9
0.034       -145495.88   -145785.62       289.74   293.7
0.035       -145495.51   -145785.20       289.69   293.7
0.035       -145496.05   -145785.56       289.51   293.5
0.035       -145495.85   -145785.29       289.44   293.4
0.036       -145495.49   -145785.08       289.59   293.6
0.036       -145496.07   -145785.36       289.28   293.3
0.036       -145495.87   -145785.10       289.22   293.2
0.037       -145495.54   -145785.12       289.58   293.6
0.037       -145495.97   -145785.34       289.37   293.4
