Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.001       -145486.75   -145777.94       291.19   295.2
0.002       -145486.76   -145777.59       290.83   294.8
0.003       -145486.83   -145777.27       290.45   294.5
0.004       -145486.89   -145777.03       290.15   294.2
0.005       -145486.84   -145776.94       290.10   294.1
0.006       -145486.84   -145777.07       290.23   294.2
0.007       -145486.81   -145777.47       290.66   294.7
0.008       -145486.75   -145778.17       291.42   295.4
0.009       -145486.68   -145779.11       292.42   296.5
0.010       -145486.66   -145780.19       293.53   297.6
0.011       -145486.71   -145781.24       294.54   298.6
0.012       -145486.73   -145782.11       295.38   299.5
0.013       -145485.67   -145782.63       296.97   301.1
0.014       -145485.67   -145782.70       297.03   301.1
0.015       -145485.69   -145782.29       296.60   300.7
0.016       -145485.71   -145781.48       295.76   299.8
0.017       -145485.71   -145780.41       294.70   298.8
0.018       -145485.70   -145779.27       293.56   297.6
0.019       -145485.68   -145778.24       292.56   296.6
0.020       -145485.71   -145777.50       291.79   295.8
0.021       -145485.70   -145777.13       291.43   295.5
0.022       -145485.64   -145777.18       291.53   295.6
0.023       -145485.62   -145777.59       291.97   296.0
0.024       -145485.65   -145778.26       292.62   296.7
0.025       -145479.05   -145778.97       299.92   304.1
0.026       -145478.98   -145779.47       300.49   304.6
0.027       -145478.95   -145779.65       300.70   304.9
0.028       -145478.96   -145779.46       300.50   304.6
0.029       -145479.01   -145778.90       299.88   304.0
0.030       -145478.95   -145778.01       299.06   303.2
0.031       -145478.94   -145776.91       297.97   302.1
0.032       -145478.98   -145775.75       296.76   300.9
0.033       -145478.88   -145774.68       295.80   299.9
0.034       -145478.84   -145773.85       295.01   299.1
0.035       -145478.88   -145773.35       294.48   298.5
0.036       -145478.85   -145773.22       294.37   298.4
0.037       -145475.74   -145773.37       297.64   301.7
0.038       -145475.79   -145773.69       297.90   302.0
0.039       -145475.82   -145774.02       298.21   302.3
0.040       -145475.89   -145774.25       298.36   302.5
0.041       -145475.89   -145774.27       298.38   302.5
0.042       -145475.93   -145774.01       298.09   302.2
0.043       -145475.99   -145773.46       297.47   301.6
0.044       -145476.01   -145772.66       296.65   300.7
0.045       -145476.08   -145771.73       295.65   299.7
0.046       -145476.15   -145770.81       294.66   298.7
0.047       -145476.12   -145770.03       293.91   298.0
0.048       -145476.03   -145769.54       293.51   297.6
0.049       -145471.28   -145769.35       298.07   302.2
0.050       -145471.32   -145769.45       298.13   302.2
0.051       -145471.27   -145769.86       298.59   302.7
0.052       -145471.36   -145770.52       299.17   303.3
0.053       -145471.35   -145771.37       300.02   304.2
0.054       -145471.36   -145772.30       300.94   305.1
0.055       -145471.39   -145773.20       301.81   306.0
0.056       -145471.39   -145773.99       302.60   306.8
0.057       -145471.41   -145774.57       303.16   307.3
0.058       -145471.50   -145774.91       303.41   307.6
0.059       -145471.48   -145775.00       303.52   307.7
0.060       -145471.42   -145774.86       303.44   307.6
0.061       -145486.31   -145774.75       288.44   292.4
0.062       -145486.45   -145774.91       288.46   292.4
0.063       -145486.46   -145775.35       288.88   292.9
0.064       -145486.41   -145776.00       289.60   293.6
0.065       -145486.44   -145776.82       290.38   294.4
0.066       -145486.43   -145777.70       291.27   295.3
0.067       -145486.43   -145778.52       292.09   296.1
0.068       -145486.41   -145779.19       292.78   296.8
0.069       -145486.47   -145779.63       293.17   297.2
0.070       -145486.42   -145779.82       293.40   297.5
0.071       -145486.34   -145779.77       293.43   297.5
0.072       -145486.35   -145779.54       293.20   297.2
0.073       -145480.84   -145779.16       298.32   302.4
0.074       -145480.86   -145778.69       297.83   301.9
0.075       -145480.86   -145778.27       297.41   301.5
0.076       -145480.85   -145778.02       297.17   301.3
0.077       -145480.80   -145777.99       297.19   301.3
0.078       -145480.84   -145778.17       297.33   301.4
0.079       -145480.76   -145778.48       297.72   301.8
0.080       -145480.85   -145778.81       297.96   302.1
0.081       -145480.87   -145779.05       298.18   302.3
0.082       -145480.76   -145779.13       298.36   302.5
0.083       -145480.75   -145778.99       298.25   302.4
0.084       -145480.74   -145778.68       297.93   302.0
0.085       -145484.81   -145778.29       293.49   297.5
0.086       -145484.80   -145777.97       293.18   297.2
0.087       -145484.84   -145777.80       292.96   297.0
0.088       -145484.85   -145777.83       292.99   297.0
0.089       -145484.82   -145778.08       293.26   297.3
0.090       -145484.74   -145778.52       293.78   297.8
0.091       -145484.71   -145779.12       294.40   298.5
0.092       -145484.73   -145779.78       295.04   299.1
0.093       -145484.71   -145780.43       295.73   299.8
0.094       -145484.75   -145781.02       296.27   300.4
0.095       -145484.75   -145781.50       296.75   300.8
0.096       -145484.78   -145781.86       297.09   301.2
0.097       -145487.13   -145782.16       295.03   299.1
0.098       -145487.15   -145782.44       295.29   299.4
0.099       -145487.20   -145782.74       295.54   299.6
0.100       -145487.17   -145783.07       295.90   300.0
0.101       -145487.13   -145783.45       296.31   300.4
0.102       -145487.14   -145783.86       296.72   300.8
0.103       -145487.09   -145784.29       297.20   301.3
0.104       -145487.03   -145784.70       297.67   301.8
0.105       -145487.07   -145785.06       297.99   302.1
0.106       -145487.10   -145785.33       298.24   302.4
0.107       -145487.09   -145785.50       298.41   302.5
